eval_id,condition_index,v_max,condition_label,method,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_total_wall_time_s,projection_linf,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_drift,robustness_post_neutral_xy_velocity
52,1,1.0,v1000,structured,coarse_candidate,051_random_projected_032,0,f1ba2c37efbcadea,f1ba2c37efbcadea_px4_position_0_h2_structured_v1000_coarse_candidate_00052_051_random_projected_032_repeat0,h2_structured_v1000_coarse_candidate_00052_051_random_projected_032_repeat0,20.387325562012848,0.0,0.9914841651916504,1.1565059724424827,-0.20901003611862046
53,1,1.0,v1000,structured,coarse_candidate,052_random_walk_033,0,f6383977164bea80,f6383977164bea80_px4_position_0_h2_structured_v1000_coarse_candidate_00053_052_random_walk_033_repeat0,h2_structured_v1000_coarse_candidate_00053_052_random_walk_033_repeat0,20.074785686010728,0.0,0.9749870300292969,-0.25942989507937364,-1.524955436330639
54,1,1.0,v1000,structured,coarse_candidate,053_random_block_034,0,e14ed1a029282fcf,e14ed1a029282fcf_px4_position_0_h2_structured_v1000_coarse_candidate_00054_053_random_block_034_repeat0,h2_structured_v1000_coarse_candidate_00054_053_random_block_034_repeat0,20.051907740009483,0.0,0.9859037399291992,1.9378743445925126,0.8868021379919961
55,1,1.0,v1000,structured,coarse_candidate,054_random_projected_035,0,be53b64014fa15dd,be53b64014fa15dd_px4_position_0_h2_structured_v1000_coarse_candidate_00055_054_random_projected_035_repeat0,h2_structured_v1000_coarse_candidate_00055_054_random_projected_035_repeat0,20.421697965997737,0.0,0.9961214065551758,0.5863008421067435,-0.3916320699194289
56,1,1.0,v1000,structured,coarse_candidate,055_random_walk_036,0,ae6fa6ca3f2eff9f,ae6fa6ca3f2eff9f_px4_position_0_h2_structured_v1000_coarse_candidate_00056_055_random_walk_036_repeat0,h2_structured_v1000_coarse_candidate_00056_055_random_walk_036_repeat0,20.340467017987976,0.0,0.9132280349731445,-2.0918469922117895,-2.6030513386749545
57,1,1.0,v1000,structured,coarse_candidate,056_random_block_037,0,acd1efad6cc117c5,acd1efad6cc117c5_px4_position_0_h2_structured_v1000_coarse_candidate_00057_056_random_block_037_repeat0,h2_structured_v1000_coarse_candidate_00057_056_random_block_037_repeat0,20.177026182995178,0.0,0.9693341255187988,0.9646578637727079,-0.23350983231821387
58,1,1.0,v1000,structured,coarse_candidate,057_random_projected_038,0,2c4e3f22defe491e,2c4e3f22defe491e_px4_position_0_h2_structured_v1000_coarse_candidate_00058_057_random_projected_038_repeat0,h2_structured_v1000_coarse_candidate_00058_057_random_projected_038_repeat0,20.185949915990932,0.0,0.992424488067627,-0.5070802859012105,-1.081238396945964
59,1,1.0,v1000,structured,coarse_candidate,058_random_walk_039,0,83684a1dbc8249d5,83684a1dbc8249d5_px4_position_0_h2_structured_v1000_coarse_candidate_00059_058_random_walk_039_repeat0,h2_structured_v1000_coarse_candidate_00059_058_random_walk_039_repeat0,20.221359749004478,0.0,0.7899169921875,-0.7140229676517529,-1.7525865000060223
60,1,1.0,v1000,structured,coarse_candidate,059_random_block_040,0,2badbab18f75ed68,2badbab18f75ed68_px4_position_0_h2_structured_v1000_coarse_candidate_00060_059_random_block_040_repeat0,h2_structured_v1000_coarse_candidate_00060_059_random_block_040_repeat0,17.557150962995365,0.0,0.9793024063110352,1.630970558899073,0.23574282875268326
61,1,1.0,v1000,structured,coarse_candidate,060_random_projected_041,0,3ec7594a6274d1bb,3ec7594a6274d1bb_px4_position_0_h2_structured_v1000_coarse_candidate_00061_060_random_projected_041_repeat0,h2_structured_v1000_coarse_candidate_00061_060_random_projected_041_repeat0,20.260122977022547,0.0,0.88442063331604,0.09851364634423265,-0.506234008755585
62,1,1.0,v1000,structured,coarse_candidate,061_random_walk_042,0,f7383149e0133335,f7383149e0133335_px4_position_0_h2_structured_v1000_coarse_candidate_00062_061_random_walk_042_repeat0,h2_structured_v1000_coarse_candidate_00062_061_random_walk_042_repeat0,20.191151627979707,0.0,0.7551608085632324,-1.8215611665066662,-2.60061037218623
63,1,1.0,v1000,structured,coarse_candidate,062_random_block_043,0,1c1cbd1dcc866f11,1c1cbd1dcc866f11_px4_position_0_h2_structured_v1000_coarse_candidate_00063_062_random_block_043_repeat0,h2_structured_v1000_coarse_candidate_00063_062_random_block_043_repeat0,20.290601118002087,0.0,0.9591302871704102,1.8234785800000406,0.8173697963894295
