scope_label,platform,scenario,audit_scope,source,seed,arm,eval_id,trigger_id,theta_hash,orig_label,expected_repeats,query_repeat_rows,parsed_log_repeats,raw_ulg_repeats_without_parsed,recoverable_from_parsed_logs,recoverable_from_existing_logs,needs_resimulation
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,10.0,0.0,bf277831ebf2214a,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,13.0,0.0,80a2524c11e753e1,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,14.0,0.0,0270e919a816d8bc,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,15.0,0.0,6226453f2924dceb,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,16.0,0.0,bbff8f5c1917f136,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,22.0,0.0,eb40cbc1991400bf,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,23.0,0.0,316025cfbeace268,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,24.0,0.0,427b4b2650e85521,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,25.0,0.0,386795d0e9efc857,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,27.0,0.0,ffbf40cc3fedb786,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,29.0,0.0,12816a11b68e8a24,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,30.0,0.0,92a47d3c9d085bfb,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,31.0,0.0,229f92c5c569ae0e,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,37.0,0.0,a050b6029201f493,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,38.0,0.0,8708143912c0017c,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,39.0,0.0,b25c2c1904ab5b52,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,40.0,1.0,a5dd7f4e24a3d892,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,41.0,1.0,bf8068662dd82298,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,42.0,1.0,e64b8fc30a11ee97,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,44.0,1.0,51681f288dbf433e,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,47.0,1.0,a803c832deab3578,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,48.0,1.0,289667c784d05319,noise_band,5,5,5,0,True,True,False
