cell_id,probe_label,repeat_idx,measured_axis,peak,threshold,rho,query_id,theta_hash,cache_tag,query_retry_count
G06,pitch_plus_full,4,tilt,0.05533566675208821,0.061086523819801536,0.005750857067713326,a08edfccf9989958_px4_position_0_contract_grid_G06_pitch_plus_full_repeat4,a08edfccf9989958,contract_grid_G06_pitch_plus_full_repeat4,0
G06,pitch_minus_full,0,tilt,0.0654970489045304,0.061086523819801536,-0.004410525084728861,e89a4b6a2371829e_px4_position_0_contract_grid_G06_pitch_minus_full_repeat0,e89a4b6a2371829e,contract_grid_G06_pitch_minus_full_repeat0,0
G06,pitch_minus_full,1,tilt,0.05384234259265831,0.061086523819801536,0.007244181227143223,e89a4b6a2371829e_px4_position_0_contract_grid_G06_pitch_minus_full_repeat1,e89a4b6a2371829e,contract_grid_G06_pitch_minus_full_repeat1,0
G06,pitch_minus_full,2,tilt,0.057338478531119896,0.061086523819801536,0.0037480452886816396,e89a4b6a2371829e_px4_position_0_contract_grid_G06_pitch_minus_full_repeat2,e89a4b6a2371829e,contract_grid_G06_pitch_minus_full_repeat2,0
G06,pitch_minus_full,3,tilt,0.06551261189882879,0.061086523819801536,-0.004426088079027252,e89a4b6a2371829e_px4_position_0_contract_grid_G06_pitch_minus_full_repeat3,e89a4b6a2371829e,contract_grid_G06_pitch_minus_full_repeat3,0
G06,pitch_minus_full,4,tilt,0.055688369180396026,0.061086523819801536,0.00539815463940551,e89a4b6a2371829e_px4_position_0_contract_grid_G06_pitch_minus_full_repeat4,e89a4b6a2371829e,contract_grid_G06_pitch_minus_full_repeat4,0
G07,zero_anchor,0,v_xy,0.013768001791302375,12.0,11.986231998208698,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat0,0
G07,zero_anchor,0,tilt,0.001979753938158992,0.6108652381980153,0.6088854842598563,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat0,0
G07,zero_anchor,1,v_xy,0.019692626958635207,12.0,11.980307373041365,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat1,0
G07,zero_anchor,1,tilt,0.00311616759124376,0.6108652381980153,0.6077490706067715,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat1,0
